timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,vel_x,vel_y,vel_z,bg_x,bg_y,bg_z,ba_x,ba_y,ba_z,grav_x,grav_y,grav_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_rot_x,delta_rot_y,delta_rot_z,P_d0,P_d1,P_d2,P_d3,P_d4,P_d5,P_d6,P_d7,P_d8,P_d9,P_d10,P_d11,P_d12,P_d13,P_d14,P_d15,P_d16,P_d17,P_d18,P_d19,P_d20,P_d21,P_d22,effct_feat_num,feats_down_size,res_mean,icp_time,kdtree_size,global_match,wall_time,kdtree_incre_time,rebuild_active,rebuild_queue,safe_blocked,time_imu,time_ds,time_ekf,time_map,time_pub,buf_lidar,buf_imu
0.195661,0.053022,0.010129,-0.029588,0.002237,-0.005244,0.001890,-0.009369,-0.006583,-0.016345,0.016920,-0.001859,-0.018129,-0.000001,-0.000000,0.000000,0.999123,0.041897,-9.757893,0.053022,0.010129,-0.029588,0.002237,-0.005244,0.001890,0.0000267656,0.0000235073,0.0000242675,0.0000101311,0.0000101107,0.0000102509,0.0000099999,0.0000099999,0.0000099999,0.0000099999,0.0000099999,0.0000099999,0.9612433332,0.9612538008,0.9603742727,0.0001004958,0.0001004958,0.0001004958,0.0010004959,0.0010004959,0.0010004959,0.0000100000,0.0000100000,471,915,0.07993593,0.007568,974.000000,0,845.061655,0.000000,0,0,0,0.0006,0.0008,0.0076,0.0000,0.0000,-0.0019,229,-1829227347
0.295937,-0.035992,-0.005652,0.005989,-0.001873,0.000131,0.000657,-0.890293,-0.156591,0.351160,0.017292,-0.002366,-0.018025,0.000223,0.000038,-0.000095,0.998919,0.041860,-9.757914,-0.089013,-0.015781,0.035577,-0.004109,0.005377,-0.001228,0.0000248182,0.0000195229,0.0000252272,0.0000100994,0.0000101563,0.0000101111,0.0000099993,0.0000099993,0.0000099999,0.0000099999,0.0000099999,0.0000099999,0.0031970674,0.0023458021,0.0029857856,0.0000996964,0.0000996967,0.0000996980,0.0010005431,0.0010005431,0.0010005431,0.0000099994,0.0000099994,509,953,0.07735255,0.013153,1568.000000,0,845.118047,0.002302,0,0,0,0.0013,0.0017,0.0132,0.0023,0.0005,-0.0024,228,328621059
0.395696,-0.049139,-0.016965,0.018032,-0.003679,-0.000900,-0.000235,-0.416154,-0.132550,0.225965,0.017297,-0.002147,-0.018100,-0.009325,-0.001833,-0.000671,1.008059,0.043670,-9.756966,-0.013147,-0.011313,0.012042,-0.001805,-0.001029,-0.000893,0.0000195616,0.0000180724,0.0000218988,0.0000100542,0.0000100968,0.0000101008,0.0000099850,0.0000099876,0.0000099997,0.0000099997,0.0000099998,0.0000099996,0.0009131307,0.0008057300,0.0009179651,0.0000995869,0.0000995870,0.0000995884,0.0009996562,0.0009992904,0.0009996430,0.0000099875,0.0000099848,586,973,0.07191495,0.013438,2191.000000,0,845.167823,0.003273,0,0,0,0.0009,0.0011,0.0134,0.0034,0.0003,-0.0021,234,2124005007
0.495756,-0.020074,-0.011709,0.011696,-0.002661,0.003085,0.000443,-0.045781,-0.027757,0.106079,0.017075,-0.002193,-0.018204,-0.047692,-0.018023,-0.000475,1.044520,0.059244,-9.753048,0.029065,0.005256,-0.006336,0.001018,0.003983,0.000684,0.0000176427,0.0000167094,0.0000194754,0.0000099809,0.0000099875,0.0000100786,0.0000099097,0.0000099144,0.0000099990,0.0000099997,0.0000099998,0.0000099996,0.0004920161,0.0004486451,0.0004701584,0.0000989285,0.0000989284,0.0000989299,0.0009926419,0.0009915583,0.0009931337,0.0000099143,0.0000099092,612,917,0.05914097,0.014642,2652.000000,0,845.219329,0.003381,0,0,0,0.0012,0.0015,0.0146,0.0035,0.0004,-0.0022,236,1652452031
0.595843,-0.020538,-0.005975,0.008109,-0.003761,0.004684,0.000269,-0.017824,0.017750,0.048016,0.017076,-0.002269,-0.018195,-0.048630,-0.025536,0.012453,1.044133,0.066380,-9.753044,-0.000463,0.005734,-0.003587,-0.001100,0.001600,-0.000173,0.0000169257,0.0000152203,0.0000181830,0.0000097635,0.0000097948,0.0000100664,0.0000097265,0.0000097451,0.0000099974,0.0000099997,0.0000099998,0.0000099996,0.0004220351,0.0003760971,0.0003806308,0.0000984984,0.0000984984,0.0000984998,0.0009760393,0.0009725238,0.0009766080,0.0000097446,0.0000097247,673,970,0.04763896,0.013487,3059.000000,0,845.267453,0.003097,0,0,0,0.0006,0.0008,0.0135,0.0032,0.0004,-0.0023,239,2091610840
0.695912,-0.005924,-0.011814,0.005299,-0.003868,0.006435,0.000862,0.071081,-0.013453,0.015647,0.017188,-0.002255,-0.018251,-0.069193,-0.012400,0.022075,1.062721,0.053676,-9.751114,0.014613,-0.005839,-0.002810,-0.000108,0.001750,0.000595,0.0000162941,0.0000151321,0.0000179508,0.0000094755,0.0000095068,0.0000100612,0.0000094495,0.0000094665,0.0000099951,0.0000099996,0.0000099998,0.0000099996,0.0003831854,0.0003648315,0.0003491631,0.0000978335,0.0000978336,0.0000978350,0.0009481025,0.0009435789,0.0009472978,0.0000094647,0.0000094452,655,953,0.04835889,0.020846,3453.000000,0,845.325848,0.003592,0,0,0,0.0013,0.0017,0.0208,0.0037,0.0004,-0.0023,237,-357695007
0.795965,0.004497,-0.006890,-0.005574,-0.002782,0.005058,-0.000478,0.099787,0.019873,-0.034795,0.017010,-0.002091,-0.018113,-0.071013,-0.022008,0.045652,1.062004,0.062713,-9.751138,0.010422,0.004924,-0.010872,0.001089,-0.001375,-0.001339,0.0000160807,0.0000146333,0.0000172240,0.0000091050,0.0000091763,0.0000100540,0.0000090924,0.0000091421,0.0000099922,0.0000099996,0.0000099998,0.0000099996,0.0003237014,0.0002909225,0.0002853829,0.0000967605,0.0000967610,0.0000967625,0.0009147420,0.0009059812,0.0009020981,0.0000091370,0.0000090833,694,956,0.03813885,0.011136,3674.000000,0,845.365145,0.004000,0,0,0,0.0007,0.0008,0.0111,0.0041,0.0005,-0.0021,234,571001433
0.896148,0.014403,-0.002343,-0.015517,-0.002205,0.002723,0.001226,0.112750,0.036649,-0.062581,0.016933,-0.001893,-0.018277,-0.068450,-0.025375,0.060583,1.057987,0.065819,-9.751554,0.009905,0.004547,-0.009944,0.000573,-0.002337,0.001702,0.0000158399,0.0000146921,0.0000171620,0.0000087991,0.0000088376,0.0000100536,0.0000087842,0.0000088191,0.0000099898,0.0000099996,0.0000099998,0.0000099995,0.0003099991,0.0002880076,0.0002825200,0.0000959929,0.0000959931,0.0000959949,0.0008810749,0.0008734757,0.0008519531,0.0000088104,0.0000087701,654,896,0.04137886,0.016360,3942.000000,0,845.421481,0.002479,0,0,0,0.0013,0.0016,0.0164,0.0026,0.0003,-0.0019,233,-622678098
0.996045,0.014970,-0.005788,-0.014772,-0.002196,0.001538,0.000772,0.080160,0.010728,-0.069128,0.016946,-0.001890,-0.018267,-0.049284,-0.011920,0.045865,1.041359,0.053028,-9.753422,0.000567,-0.003445,0.000745,0.000009,-0.001184,-0.000456,0.0000155217,0.0000146531,0.0000166886,0.0000085380,0.0000086067,0.0000100476,0.0000085300,0.0000085595,0.0000099877,0.0000099995,0.0000099998,0.0000099994,0.0008048094,0.0007858422,0.0007743736,0.0000964223,0.0000964225,0.0000964245,0.0008535528,0.0008470973,0.0007993584,0.0000085491,0.0000085113,675,933,0.04307436,0.014962,4158.000000,0,845.469660,0.002829,0,0,0,0.0009,0.0015,0.0150,0.0029,0.0003,-0.0019,238,176186498
1.096033,0.011927,-0.003738,-0.013767,-0.002448,0.001818,0.000624,0.066650,0.020557,-0.065737,0.016955,-0.001896,-0.018258,-0.044066,-0.015678,0.043619,1.036638,0.056661,-9.753904,-0.003043,0.002050,0.001005,-0.000251,0.000280,-0.000148,0.0000133983,0.0000128362,0.0000142374,0.0000084730,0.0000085185,0.0000100181,0.0000084716,0.0000084988,0.0000099867,0.0000099994,0.0000099998,0.0000099993,0.0007601964,0.0007435471,0.0007367950,0.0000964223,0.0000964224,0.0000964244,0.0008470216,0.0008409201,0.0007852986,0.0000084887,0.0000084521,677,933,0.02701192,0.017808,4418.000000,0,845.521428,0.002908,0,0,0,0.0000,0.0003,0.0178,0.0030,0.0003,-0.0019,248,-2093731404
